source,target,order,distance_km,shared_period
Dryanovo Monastery,Bachkovo Monastery,Bulgarian Orthodox,0.0,1150-2025
Dryanovo Monastery,Etropole Monastery,Bulgarian Orthodox,116.6,1200-2025
Dryanovo Monastery,Rila Monastery,Bulgarian Orthodox,108.5,1150-2025
Dryanovo Monastery,Kremikovtsi Monastery,Bulgarian Orthodox,142.2,1350-2025
Dryanovo Monastery,Rozhen Monastery,Bulgarian Orthodox,130.8,1250-2025
Dryanovo Monastery,Dragalevtsi Monastery,Bulgarian Orthodox,149.1,1345-2025
Bachkovo Monastery,Etropole Monastery,Bulgarian Orthodox,116.6,1200-2025
Bachkovo Monastery,Rila Monastery,Bulgarian Orthodox,108.5,1083-2025
Bachkovo Monastery,Kremikovtsi Monastery,Bulgarian Orthodox,142.2,1350-2025
Bachkovo Monastery,Rozhen Monastery,Bulgarian Orthodox,130.8,1250-2025
Bachkovo Monastery,Dragalevtsi Monastery,Bulgarian Orthodox,149.1,1345-2025
Etropole Monastery,Rila Monastery,Bulgarian Orthodox,79.2,1200-2025
Etropole Monastery,Kremikovtsi Monastery,Bulgarian Orthodox,40.5,1350-2025
Etropole Monastery,Dragalevtsi Monastery,Bulgarian Orthodox,56.7,1345-2025
Etropole Monastery,Razboishte Monastery,Bulgarian Orthodox,79.8,1200-1950
Etropole Monastery,Lopushna Monastery,Bulgarian Orthodox,99.7,1200-2025
Bodbe Monastery,Alaverdi Monastery,Georgian Orthodox,75.5,None
Bodbe Monastery,Jvari (monastery),Georgian Orthodox,102.9,None
Bodbe Monastery,Zedazeni Monastery,Georgian Orthodox,102.9,1650-2025
Alaverdi Monastery,Jvari (monastery),Georgian Orthodox,44.9,600-605
Alaverdi Monastery,Zedazeni Monastery,Georgian Orthodox,44.9,780-1300
Alaverdi Monastery,David Gareja monastery complex,Georgian Orthodox,90.0,600-1300
Jvari (monastery),Zedazeni Monastery,Georgian Orthodox,0.0,None
Jvari (monastery),David Gareja monastery complex,Georgian Orthodox,52.4,586-605
Jvari (monastery),Katskhi Monastery,Georgian Orthodox,128.5,None
Jvari (monastery),Katskhi pillar,Georgian Orthodox,128.5,None
Zedazeni Monastery,David Gareja monastery complex,Georgian Orthodox,52.4,780-2025
Zedazeni Monastery,Katskhi Monastery,Georgian Orthodox,128.5,1010-2025
Zedazeni Monastery,Katskhi pillar,Georgian Orthodox,128.5,900-2025
Khor Virap Monastery,Geghard Monastery,Armenian Orthodox ,110.4,350-2025
David Gareja monastery complex,Katskhi Monastery,Georgian Orthodox,76.6,1010-2025
