Religious order,Country,Community Count,Avg Duration,Earliest Founded,Image 1 Link,Image 2 Link,Image 3 Link
Albanian Orthodox,Albania,1,743.0,1282,,,
Amadean,Italy,1,61.0,1370,,,
Armenian Orthodox ,Armenia,3,1327.6666666666667,301,,,
Augustinian,Austria,3,478.0,1190,,,
Augustinian,Belgium,35,445.0571428571429,123,,,
Augustinian,Czech Republic,1,18.0,1262,,,
Augustinian,France,10,424.4,1130,,,
Augustinian,Germany,20,406.0,845,,,
Augustinian,Hungary,1,11.0,1269,,,
Augustinian,Italy,26,290.65384615384613,1102,,,
Augustinian,Netherlands,3,323.6666666666667,750,,,
Augustinian,Norway,1,274.0,1263,,,
Augustinian,Poland,6,416.1666666666667,1129,,,
Augustinian,Portugal,1,14.0,1266,,,
Augustinian,Republic of Ireland,9,579.8888888888889,400,,,
Augustinian,Spain,9,364.3333333333333,1200,,,
Augustinian,United Kingdom,26,286.1923076923077,400,,,
Beguine,Belgium,5,431.4,1200,,,
Beguine,France,1,164.0,1250,,,
Beguine,Germany,15,461.3333333333333,1230,,,
Beguine,Netherlands,1,280.0,1300,,,
Benedictine,Austria,3,727.6666666666666,714,,,
Benedictine,Belgium,26,531.8076923076923,647,,,
Benedictine,Denmark,1,385.0,1170,,,
Benedictine,France,59,534.1694915254237,413,,,
Benedictine,Germany,57,585.1228070175439,650,,,
Benedictine,Greece,2,63.5,985,,,
Benedictine,Israel,1,885.0,1140,,,
Benedictine,Italy,147,495.4149659863946,400,,,
Benedictine,Netherlands,1,359.0,1270,,,
Benedictine,Norway,1,390.0,1150,,,
Benedictine,Poland,2,898.0,992,,,
Benedictine,Republic of Ireland,1,343.0,1200,,,
Benedictine,Romania,2,277.5,1177,,,
Benedictine,Spain,8,486.0,875,,,
Benedictine,Switzerland,1,362.0,1230,,,
Benedictine,United Kingdom,75,353.1066666666667,633,,,
Bridgettine,Poland,2,256.5,1416,,,
Bulgarian Orthodox,Bulgaria,9,855.0,927,,,
Camaldolese ,Italy,10,677.7,1012,,,
Camaldolese ,Poland,1,416.0,1609,,,
Carthusian,France,11,551.3636363636364,1084,,,
Carthusian,Italy,2,552.5,1285,,,
Cistercian,Austria,1,408.0,1214,,,
Cistercian,Belgium,53,537.6603773584906,1114,,,
Cistercian,France,145,574.4344827586207,800,,,
Cistercian,Germany,77,428.83116883116884,994,,,
Cistercian,Greece,1,51.0,1225,,,
Cistercian,Italy,39,417.20512820512823,115,,,
Cistercian,Luxembourg,2,606.0,1133,,,
Cistercian,Netherlands,3,421.3333333333333,1224,,,
Cistercian,Poland,2,538.5,1185,,,
Cistercian,Republic of Ireland,5,490.4,490,,,
Cistercian,Romania,1,39.0,1202,,,
Cistercian,Spain,20,387.15,1006,,,
Cistercian,Sweden,4,370.25,1143,,,
Cistercian,Switzerland,1,788.0,1237,,,
Cistercian,Turkey,1,207.0,1195,,,
Cistercian,United Kingdom,35,369.0571428571429,1100,,,
Cistercian ,Norway,1,357.0,1150,,,
Clarisse,Denmark,1,35.0,1494,,,
Clarisse,Germany,2,169.0,1264,,,
