Country,Number of Monastic Communities
Italy,306
France,239
Germany,203
United Kingdom,164
Belgium,127
Egypt,69
Spain,45
Republic of Ireland,30
Serbia,29
Poland,20
Turkey,16
Lebanon,15
Israel,14
Greece,13
Georgia,10
Sudan,10
Austria,10
Bulgaria,9
Netherlands,8
Romania,8
Switzerland,7
North Macedonia,7
Syria,6
Portugal,5
Sweden,5
Denmark,4
Ethiopia,4
Norway,4
Armenia,3
Russia,3
Ukraine,2
Libya,2
Montenegro,2
Luxembourg,2
Finland,2
Cyprus,2
Bosnia and Herzegovina,2
Malta,1
Hungary,1
Czech Republic,1
Albania,1
