name,year,revenue_index,land_area,primary_revenue_source
Dryanovo Monastery,1200,36.7,,
Dryanovo Monastery,1300,50.0,,
Dryanovo Monastery,1400,63.3,,
Dryanovo Monastery,1500,76.7,,
Dryanovo Monastery,1600,90.0,,
Dryanovo Monastery,1700,95.7,,
Dryanovo Monastery,1800,78.6,,
Dryanovo Monastery,1900,61.5,,
Dryanovo Monastery,2000,44.4,,
Bachkovo Monastery,1100,32.1,,
Bachkovo Monastery,1200,44.5,,
Bachkovo Monastery,1300,56.9,,
Bachkovo Monastery,1400,69.3,,
Bachkovo Monastery,1500,81.6,,
Bachkovo Monastery,1600,94.0,,
Bachkovo Monastery,1700,91.8,,
Bachkovo Monastery,1800,75.9,,
Bachkovo Monastery,1900,60.0,,
Bachkovo Monastery,2000,44.1,,
Etropole Monastery,1200,30.0,,
Etropole Monastery,1300,44.1,,
Etropole Monastery,1400,58.3,,
Etropole Monastery,1500,72.4,,
Etropole Monastery,1600,86.6,,
Etropole Monastery,1700,99.1,,
Etropole Monastery,1800,81.0,,
Etropole Monastery,1900,62.8,,
Etropole Monastery,2000,44.7,,
St. Arsenius Coptic Orthodox Monastery,500,35.1,,
St. Arsenius Coptic Orthodox Monastery,600,42.4,,
St. Arsenius Coptic Orthodox Monastery,700,49.7,,
St. Arsenius Coptic Orthodox Monastery,800,57.1,,
St. Arsenius Coptic Orthodox Monastery,900,64.4,,
St. Arsenius Coptic Orthodox Monastery,1000,71.7,,
St. Arsenius Coptic Orthodox Monastery,1100,79.0,,
St. Arsenius Coptic Orthodox Monastery,1200,86.3,,
St. Arsenius Coptic Orthodox Monastery,1300,93.6,,
St. Arsenius Coptic Orthodox Monastery,1400,98.8,,
St. Arsenius Coptic Orthodox Monastery,1500,89.4,,
St. Arsenius Coptic Orthodox Monastery,1600,80.0,,
St. Arsenius Coptic Orthodox Monastery,1700,70.6,,
St. Arsenius Coptic Orthodox Monastery,1800,61.2,,
St. Arsenius Coptic Orthodox Monastery,1900,51.8,,
St. Arsenius Coptic Orthodox Monastery,2000,42.4,,
