name,environmental,social,governance,composite
Dryanovo Monastery,49.3,45,44.5,46.4
Bachkovo Monastery,53.0,45,47.1,48.4
Etropole Monastery,46.4,45,42.5,44.7
St. Arsenius Coptic Orthodox Monastery,89.9,45,72.9,69.1
Qasr el-Wizz,25.3,45,27.7,32.9
Tatev Monastery,32.9,55,33.0,40.7
Bodbe Monastery,21.1,65,24.8,37.6
Alaverdi Monastery,39.4,45,37.6,40.8
Jvari (monastery),1.0,45,10.7,19.3
Zedazeni Monastery,70.1,45,59.1,58.0
Khor Virap Monastery,97.1,45,78.0,73.1
David Gareja monastery complex,83.1,55,68.2,68.8
Geghard Monastery,94.4,45,76.1,71.6
Katskhi Monastery,57.2,55,50.0,54.3
Katskhi pillar,63.4,45,54.4,54.3
Chulevi Monastery,38.0,55,36.6,43.5
Gelati Monastery,51.7,45,46.2,47.7
Martvili Monastery,77.5,45,64.2,62.1
Istifanos (Hayq) Monastery,43.6,45,40.5,43.2
Tsadkane Mariam Monastery,32.4,65,32.7,43.9
Debre Abbay,38.0,45,36.6,40.0
Abba Garima Monastery,77.2,45,64.0,62.0
Sviatohirsk Lavra,28.1,45,29.7,34.5
Monastery of St Simeon Stylites (Qalaat Samaan),92.9,65,75.0,77.8
St. George Coptic Orthodox Monastery,81.4,65,67.0,71.3
Deir Mar Maroun,100.0,45,80.0,74.8
Our Lady of Saidnaya Monastery,83.3,65,68.3,72.4
Trapessac,3.8,55,12.6,24.4
Bagras (Gaston),6.4,55,14.5,25.8
Chastel Blanc,8.6,55,16.0,27.1
Monastery of the Cross,60.5,45,52.3,52.6
Chastel Rouge (Qal’at Yahmur),6.3,55,14.4,25.8
"Deir Qannoubin, Qozhaya",82.0,45,67.4,64.7
"Mar Antonios, Qozhaya",49.3,45,44.5,46.4
Margat (Marqab),5.5,55,13.8,25.3
Krak des Chevaliers (Hisn al-Akrad),7.2,55,15.0,26.3
Deir Saydet Hamatoura,91.5,65,74.0,77.0
"Deir El-Balamand of the Greek Orthodox, Koura",48.9,55,44.2,49.6
La Colée (Qalaat al-Qlaiaat),7.8,55,15.4,26.6
